n_particles	n_dimensions	n_steps	n_accepted_steps	E	var	params
1	1	1000000	860389	0.726764	0.556239	0.2
1	1	1000000	830657	0.566865	0.14322	0.3
1	1	1000000	804927	0.512888	0.0256052	0.4
1	1	1000000	783045	0.5	0	0.5
1	1	1000000	764307	0.508255	0.0168737	0.6
1	1	1000000	747361	0.528113	0.05928	0.7
1	1	1000000	732154	0.555653	0.118708	0.8
10	1	1000000	860294	7.27129	5.5205	0.2
10	1	1000000	829916	5.65244	1.40956	0.3
10	1	1000000	804989	5.11986	0.247854	0.4
10	1	1000000	783702	5	0	0.5
10	1	1000000	764755	5.08591	0.165396	0.6
10	1	1000000	748102	5.27962	0.595498	0.7
10	1	1000000	732185	5.55071	1.2051	0.8
100	1	1000000	859992	72.4472	58.1386	0.2
100	1	1000000	829799	56.5584	14.0725	0.3
100	1	1000000	804573	51.2467	2.44206	0.4
100	1	1000000	783411	50	0	0.5
100	1	1000000	764879	50.8438	1.70972	0.6
100	1	1000000	748763	52.8611	5.90306	0.7
100	1	1000000	732742	55.5286	12.0215	0.8
500	1	1000000	860103	362.061	291.161	0.2
500	1	1000000	829840	283.192	60.9186	0.3
500	1	1000000	805101	256.398	12.9371	0.4
500	1	1000000	783722	250	0	0.5
500	1	1000000	765030	254.217	8.58833	0.6
500	1	1000000	748427	265.22	24.6805	0.7
500	1	1000000	731691	278.269	61.5467	0.8
1	2	1000000	860034	1.45609	1.11101	0.2
1	2	1000000	829559	1.13463	0.28611	0.3
1	2	1000000	805089	1.02534	0.0507032	0.4
1	2	1000000	784114	1	0	0.5
1	2	1000000	765223	1.01658	0.0335252	0.6
1	2	1000000	747777	1.05805	0.116162	0.7
1	2	1000000	731795	1.11344	0.236903	0.8
10	2	1000000	860155	14.5032	11.0683	0.2
10	2	1000000	829390	11.3928	2.87794	0.3
10	2	1000000	805127	10.2442	0.509208	0.4
10	2	1000000	783489	10	0	0.5
10	2	1000000	764560	10.1577	0.344305	0.6
10	2	1000000	747740	10.5858	1.1485	0.7
10	2	1000000	731968	11.1496	2.36932	0.8
100	2	1000000	860156	145.091	103.489	0.2
100	2	1000000	830139	112.63	28.8054	0.3
100	2	1000000	805768	102.311	4.71637	0.4
100	2	1000000	783093	100	0	0.5
100	2	1000000	764961	101.799	3.2847	0.6
100	2	1000000	748018	105.749	11.0699	0.7
100	2	1000000	731528	111.057	23.1213	0.8
500	2	1000000	859855	720.898	456.805	0.2
500	2	1000000	829953	566.659	130.303	0.3
500	2	1000000	804401	512.329	24.6532	0.4
500	2	1000000	783123	500	0	0.5
500	2	1000000	764150	507.916	14.5388	0.6
500	2	1000000	747162	527.343	60.9703	0.7
500	2	1000000	731495	557.591	131.541	0.8
1	3	1000000	860315	2.17538	1.66406	0.2
1	3	1000000	830036	1.70426	0.435301	0.3
1	3	1000000	805266	1.53649	0.0760505	0.4
1	3	1000000	783750	1.5	0	0.5
1	3	1000000	764732	1.52459	0.0508243	0.6
1	3	1000000	747499	1.58545	0.177153	0.7
1	3	1000000	732429	1.66422	0.36067	0.8
10	3	1000000	860253	21.79	16.5896	0.2
10	3	1000000	830413	16.9938	4.31564	0.3
10	3	1000000	804589	15.3748	0.744457	0.4
10	3	1000000	783760	15	0	0.5
10	3	1000000	764493	15.2627	0.505781	0.6
10	3	1000000	747594	15.8537	1.79851	0.7
10	3	1000000	733150	16.7498	3.45041	0.8
100	3	1000000	860975	215.623	175.274	0.2
100	3	1000000	830447	169.332	39.7653	0.3
100	3	1000000	805050	153.58	7.34879	0.4
100	3	1000000	783580	150	0	0.5
100	3	1000000	764785	152.324	4.88927	0.6
100	3	1000000	747842	158.69	16.6876	0.7
100	3	1000000	732089	166.916	35.4695	0.8
500	3	1000000	858027	1061.36	231.924	0.2
500	3	1000000	827344	836.152	77.1508	0.3
500	3	1000000	801310	763.574	9.11237	0.4
500	3	1000000	779500	750	0	0.5
500	3	1000000	761953	767.304	8.59683	0.6
500	3	1000000	743930	801.439	29.65	0.7
500	3	1000000	0	823.116	-1.81939e-05	0.8
